
43 ['Chr1', 701, 'r1552', 44, '182M18S', '+']
29 ['Chr1', 6791, 'r618', 44, '199M1S', '+']
33 ['Chr1', 7142, 'r424', 44, '182M18S', '+']
60 ['Chr2', 5741, 'r3028', 44, '189M11S', '+']
21 ['Chr4', 10221, 'r8404', 44, '195M5S', '+']


34 ['Chr1', 701, 'r1366', 44, '186M14S', '+']
28 ['Chr1', 6791, 'r1322', 44, '188M12S', '+']
28 ['Chr1', 7142, 'r1872', 44, '195M5S', '+']
46 ['Chr2', 5741, 'r5320', 44, '197M3S', '+']
23 ['Chr4', 10221, 'r9038', 44, '198M2S', '+']


25 ['Chr1', 701, 'r147', 44, '94M6S', '+']
37 ['Chr1', 6791, 'r958', 44, '185M15S', '+']
35 ['Chr1', 7142, 'r1882', 44, '190M10S', '+']
52 ['Chr2', 5741, 'r3834', 44, '180M20S', '+']
28 ['Chr4', 10221, 'r9076', 44, '180M20S', '+']


31 ['Chr1', 701, 'r574', 44, '199M1S', '+']
21 ['Chr1', 6791, 'r2558', 44, '197M3S', '+']
31 ['Chr1', 7142, 'r1772', 44, '191M9S', '+']
56 ['Chr2', 5741, 'r3826', 44, '195M5S', '+']
27 ['Chr4', 10221, 'r8590', 44, '190M10S', '+']


37 ['Chr1', 701, 'r766', 44, '188M12S', '+']
26 ['Chr1', 6791, 'r2876', 44, '184M16S', '+']
44 ['Chr1', 7142, 'r2684', 44, '186M14S', '+']
45 ['Chr2', 5741, 'r4460', 44, '196M4S', '+']
35 ['Chr4', 10221, 'r8834', 44, '195M5S', '+']


30 ['Chr1', 701, 'r802', 44, '188M12S', '+']
33 ['Chr1', 6791, 'r478', 44, '199M1S', '+']
29 ['Chr1', 7142, 'r602', 44, '189M11S', '+']
52 ['Chr2', 5741, 'r3926', 44, '199M1S', '+']
22 ['Chr4', 10221, 'r9220', 44, '193M7S', '+']


32 ['Chr1', 701, 'r60', 44, '182M18S', '+']
38 ['Chr1', 6791, 'r834', 44, '198M2S', '+']
33 ['Chr1', 7142, 'r1858', 44, '180M20S', '+']
63 ['Chr2', 5741, 'r3812', 44, '189M11S', '+']
27 ['Chr4', 10221, 'r9612', 44, '199M1S', '+']


25 ['Chr1', 701, 'r2314', 44, '196M4S', '+']
37 ['Chr1', 6791, 'r2024', 44, '191M9S', '+']
20 ['Chr1', 7142, 'r728', 44, '192M8S', '+']
41 ['Chr2', 5741, 'r4330', 44, '169M31S', '+']
20 ['Chr4', 10221, 'r8910', 44, '181M19S', '+']


24 ['Chr1', 701, 'r182', 44, '194M6S', '+']
26 ['Chr1', 6791, 'r1070', 44, '185M15S', '+']
33 ['Chr1', 7142, 'r2110', 44, '187M13S', '+']
53 ['Chr2', 5741, 'r4238', 44, '196M4S', '+']
28 ['Chr4', 10221, 'r7764', 44, '199M1S', '+']


18 ['Chr1', 701, 'r500', 44, '194M6S', '+']
26 ['Chr1', 6791, 'r462', 44, '183M17S', '+']
28 ['Chr1', 7142, 'r2324', 44, '192M8S', '+']
34 ['Chr2', 5741, 'r4348', 44, '196M4S', '+']
19 ['Chr4', 10221, 'r8434', 44, '198M2S', '+']


